fes2basic2,0.009417040358744421
endacidic0,0.005381165919282527
fes1basic absolute,0.004260089686098678
beginacidic,0.004260089686098667
sbr2basic1,0.004260089686098667
sbr2acidic2,0.0038116591928251233
fes2acidic1,0.0035874439461883512
sbr1acidic2,0.0031390134529148185
sbr2basic0,0.003139013452914807
corebasic,0.002914798206278035
fes1acidic0,0.0026905829596412635
fes1acidic absolute,0.0026905829596412635
fes2basic1,0.0024663677130044915
corebasic2,0.0022421524663677308
fes1acidic,0.0022421524663677195
absolute basic,0.0022421524663677195
begincharge,0.0022421524663677195
sbr1basic1,0.0017937219730941756
corebasic0,0.0017937219730941756
sbr2acidic0,0.0017937219730941756
fes2acidic2,0.0015695067264574036
fes1basic2,0.0015695067264574036
coreacidic absolute,0.0015695067264574036
sbr1acidic absolute,0.0013452914798206428
fes1basic1,0.0013452914798206318
fes2basic0,0.0011210762331838597
fes2basic absolute,0.0011210762331838597
corebasic1,0.0011210762331838597
sbr2acidic1,0.0011210762331838597
coreacidic,0.0011210762331838597
fes2charge,0.0008968609865470989
coreacidic1,0.0008968609865470878
sbr1acidic0,0.000672645739910338
endbasic2,0.0006726457399103269
endbasic absolute,0.0006726457399103159
complete charge,0.0006726457399103159
sbr1basic0,0.0006726457399103159
endbasic1,0.0006726457399103159
sbr1basic absolute,0.0006726457399103159
fes2acidic absolute,0.0004484304932735661
mean acidic,0.0004484304932735439
fes2basic,0.0004484304932735439
fes1acidic2,0.0004484304932735439
coreacidic2,0.0004484304932735439
beginacidic0,0.0004484304932735439
endacidic2,0.0004484304932735439
endbasic0,0.0004484304932735439
fes2acidic0,0.00022421524663678304
fes1basic0,0.00022421524663677195
sbr1acidic,0.00022421524663677195
absolute acidic,0.00022421524663677195
sbr1charge,0.00022421524663677195
corebasic absolute,0.00022421524663677195
sbr2acidic absolute,0.0
beginbasic1,0.0
sbr2charge,0.0
coreacidic0,0.0
sbr2basic,0.0
beginbasic absolute,0.0
sbr1basic2,0.0
sbr2acidic,0.0
sbr1basic,0.0
endacidic,0.0
endcharge,0.0
endacidic1,0.0
beginacidic2,0.0
sbr2basic absolute,0.0
sbr2basic2,-0.00022421524663673864
endbasic,-0.00022421524663676084
beginacidic1,-0.00022421524663676084
corecharge,-0.00044843049327351057
fes1acidic1,-0.0004484304932735217
sbr1acidic1,-0.0004484304932735217
mean basic,-0.0004484304932735217
beginbasic0,-0.0008968609865470323
fes2acidic,-0.0008968609865470434
fes1charge,-0.0011210762331838042
endacidic absolute,-0.001345291479820565
fes1basic,-0.001569506726457337
beginacidic absolute,-0.001569506726457337
beginbasic,-0.0017937219730940867
beginbasic2,-0.0017937219730940867
