beginacidic,beginacidic absolute,begincharge,beginbasic,beginbasic absolute,beginacidic0,beginbasic0,beginacidic1,beginbasic1,beginacidic2,beginbasic2,sbr1acidic,sbr1acidic absolute,sbr1charge,sbr1basic,sbr1basic absolute,sbr1acidic0,sbr1basic0,sbr1acidic1,sbr1basic1,sbr1acidic2,sbr1basic2,sbr2acidic,sbr2acidic absolute,sbr2charge,sbr2basic,sbr2basic absolute,sbr2acidic0,sbr2basic0,sbr2acidic1,sbr2basic1,sbr2acidic2,sbr2basic2,coreacidic,coreacidic absolute,corecharge,corebasic,corebasic absolute,coreacidic0,corebasic0,coreacidic1,corebasic1,coreacidic2,corebasic2,endacidic,endacidic absolute,endcharge,endbasic,endbasic absolute,endacidic0,endbasic0,endacidic1,endbasic1,endacidic2,endbasic2,fes1acidic,fes1acidic absolute,fes1charge,fes1basic,fes1basic absolute,fes1acidic0,fes1basic0,fes1acidic1,fes1basic1,fes1acidic2,fes1basic2,fes2acidic,fes2acidic absolute,fes2charge,fes2basic,fes2basic absolute,fes2acidic0,fes2basic0,fes2acidic1,fes2basic1,fes2acidic2,fes2basic2,target,complete charge,mean acidic,mean basic,absolute acidic,absolute basic,prediction
1.137931034482759,12.0,-2.846000000000001,1.1264367816091954,11.0,0.1333333333333333,0.0333333333333333,0.1333333333333333,0.1666666666666666,0.1333333333333333,0.1666666666666666,1.1555555555555554,14.0,-4.845000000000001,1.1222222222222222,11.0,0.064516129032258,0.2258064516129032,0.1612903225806451,0.032258064516129,0.2258064516129032,0.0967741935483871,1.1126760563380282,8.0,-2.897,1.084507042253521,6.0,0.12,0.12,0.16,0.08,0.04,0.04,1.1702127659574468,16.0,-6.476999999999999,1.1595744680851063,15.0,0.1818181818181818,0.1515151515151515,0.1515151515151515,0.0909090909090909,0.1515151515151515,0.2121212121212121,1.14,7.0,-1.996,1.1,5.0,0.0555555555555555,0.0555555555555555,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0555555555555555,1.1142857142857143,8.0,2.466,1.2142857142857142,15.0,0.16,0.2,0.08,0.12,0.08,0.28,1.146067415730337,13.0,-4.481999999999999,1.1573033707865168,14.0,0.1612903225806451,0.1935483870967742,0.1935483870967742,0.032258064516129,0.064516129032258,0.2258064516129032,3,-21.077,1.13953264890712,1.1377613713203252,78.0,77.0,3
1.1274509803921569,13.0,-2.529,1.156862745098039,16.0,0.0857142857142857,0.2,0.1142857142857142,0.1714285714285714,0.1714285714285714,0.0857142857142857,1.0736842105263158,7.0,6.187000000000001,1.1578947368421053,15.0,0.0303030303030303,0.1818181818181818,0.1212121212121212,0.1515151515151515,0.0606060606060606,0.1212121212121212,1.1428571428571428,11.0,-1.7169999999999996,1.155844155844156,12.0,0.1111111111111111,0.2962962962962963,0.2222222222222222,0.037037037037037,0.074074074074074,0.1111111111111111,1.0956521739130434,11.0,0.4270000000000001,1.1478260869565218,17.0,0.15,0.125,0.025,0.175,0.1,0.125,1.037037037037037,2.0,4.227,1.1666666666666667,9.0,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.2105263157894736,0.0,0.2105263157894736,1.1195652173913044,11.0,-0.7130000000000001,1.1521739130434785,14.0,0.09375,0.1875,0.1875,0.09375,0.0625,0.15625,1.0721649484536082,7.0,2.420000000000001,1.154639175257732,15.0,0.088235294117647,0.1470588235294117,0.0588235294117647,0.1470588235294117,0.0588235294117647,0.1470588235294117,9,8.302000000000003,1.0954873872243729,1.1559867828155286,62.0,98.0,9
1.1630434782608696,15.0,-5.623999999999999,1.141304347826087,13.0,0.1875,0.09375,0.1875,0.21875,0.09375,0.09375,1.1720430107526882,16.0,-1.7060000000000013,1.1827956989247312,17.0,0.09375,0.25,0.1875,0.125,0.21875,0.15625,1.1733333333333331,13.0,-4.893000000000001,1.12,9.0,0.1538461538461538,0.1923076923076923,0.3076923076923077,0.0384615384615384,0.0384615384615384,0.1153846153846153,1.1739130434782608,16.0,-7.756999999999997,1.1195652173913044,11.0,0.1875,0.125,0.15625,0.0625,0.15625,0.15625,1.1111111111111112,6.0,2.281,1.2037037037037035,11.0,0.1052631578947368,0.1578947368421052,0.1578947368421052,0.2105263157894736,0.0526315789473684,0.2105263157894736,1.1194029850746268,8.0,2.374,1.208955223880597,14.0,0.0833333333333333,0.1666666666666666,0.1666666666666666,0.125,0.0833333333333333,0.2916666666666667,1.160919540229885,14.0,-5.849999999999998,1.1149425287356325,10.0,0.2,0.1,0.2,0.0666666666666666,0.0666666666666666,0.1666666666666666,1,-21.175,1.153395214605825,1.1558952457802936,88.0,85.0,1
1.1071428571428572,9.0,-1.0370000000000004,1.0952380952380951,8.0,0.0689655172413793,0.0689655172413793,0.1724137931034483,0.1379310344827586,0.0689655172413793,0.0689655172413793,1.1827956989247312,17.0,-3.749000000000001,1.1720430107526882,16.0,0.125,0.28125,0.1875,0.09375,0.21875,0.125,1.1388888888888888,10.0,-4.806,1.0972222222222223,7.0,0.2,0.12,0.16,0.12,0.04,0.04,1.1612903225806452,15.0,-2.7059999999999995,1.1720430107526882,16.0,0.15625,0.1875,0.125,0.15625,0.1875,0.15625,1.08,4.0,1.0499999999999996,1.12,6.0,0.0555555555555555,0.0555555555555555,0.1111111111111111,0.1666666666666666,0.0555555555555555,0.1111111111111111,1.1,7.0,6.096,1.2,14.0,0.12,0.12,0.04,0.12,0.12,0.32,1.1444444444444444,13.0,-2.709999999999999,1.1555555555555554,14.0,0.1612903225806451,0.1935483870967742,0.1935483870967742,0.0967741935483871,0.064516129032258,0.1612903225806451,3,-7.862000000000002,1.1306517445687951,1.1445859849316071,75.0,81.0,3
1.1122448979591837,11.0,-4.764,1.0918367346938775,9.0,0.088235294117647,0.0294117647058823,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,1.120879120879121,11.0,-0.8049999999999995,1.1318681318681318,12.0,0.03125,0.21875,0.21875,0.0625,0.09375,0.09375,1.0821917808219177,6.0,-1.949,1.0821917808219177,6.0,0.0769230769230769,0.1153846153846153,0.1153846153846153,0.0769230769230769,0.0384615384615384,0.0384615384615384,1.1428571428571428,13.0,-0.8460000000000002,1.1538461538461535,14.0,0.15625,0.125,0.15625,0.125,0.09375,0.1875,1.06,3.0,3.003,1.12,6.0,0.1111111111111111,0.0555555555555555,0.0555555555555555,0.2222222222222222,0.0,0.0555555555555555,1.0895522388059702,6.0,5.051,1.1791044776119404,12.0,0.0833333333333333,0.0833333333333333,0.1666666666666666,0.125,0.0,0.2916666666666667,1.130952380952381,11.0,-0.848,1.1428571428571428,12.0,0.1724137931034483,0.1379310344827586,0.1379310344827586,0.1379310344827586,0.0689655172413793,0.1379310344827586,2,-1.1580000000000004,1.105525366039388,1.1288149173855948,61.0,71.0,2
1.1428571428571428,15.0,-2.029000000000001,1.1238095238095238,13.0,0.1666666666666666,0.0833333333333333,0.1388888888888889,0.1666666666666666,0.1111111111111111,0.1111111111111111,1.1318681318681318,12.0,-2.6690000000000005,1.1428571428571428,13.0,0.0625,0.21875,0.125,0.03125,0.1875,0.15625,1.16,12.0,-6.893000000000001,1.08,6.0,0.1538461538461538,0.0769230769230769,0.2692307692307692,0.1153846153846153,0.0384615384615384,0.0384615384615384,1.175824175824176,16.0,-4.751999999999999,1.1538461538461535,14.0,0.1875,0.09375,0.1875,0.15625,0.125,0.1875,1.08,4.0,0.0059999999999997,1.08,4.0,0.1111111111111111,0.0555555555555555,0.0555555555555555,0.1666666666666666,0.0555555555555555,0.0,1.108108108108108,8.0,3.0989999999999998,1.1621621621621625,12.0,0.1538461538461538,0.1538461538461538,0.1153846153846153,0.0769230769230769,0.0384615384615384,0.2307692307692307,1.1547619047619049,13.0,-2.755999999999999,1.1547619047619049,13.0,0.2068965517241379,0.1379310344827586,0.1379310344827586,0.1379310344827586,0.1034482758620689,0.1724137931034483,6,-15.994000000000002,1.1362027804884949,1.1282052696338412,80.0,75.0,6
1.1162790697674418,10.0,-2.035,1.0930232558139534,8.0,0.1666666666666666,0.0333333333333333,0.1,0.1,0.0666666666666666,0.1333333333333333,1.1444444444444444,13.0,-2.847999999999999,1.1333333333333333,12.0,0.032258064516129,0.2580645161290322,0.1935483870967742,0.0,0.1935483870967742,0.1290322580645161,1.1267605633802815,9.0,-3.897,1.084507042253521,6.0,0.16,0.12,0.12,0.08,0.08,0.04,1.180851063829787,17.0,-6.474999999999999,1.1702127659574468,16.0,0.1818181818181818,0.1515151515151515,0.1515151515151515,0.1515151515151515,0.1818181818181818,0.1818181818181818,1.14,7.0,0.1880000000000006,1.18,9.0,0.1111111111111111,0.1111111111111111,0.1666666666666666,0.2222222222222222,0.1111111111111111,0.1666666666666666,1.078125,5.0,5.093999999999999,1.171875,11.0,0.0434782608695652,0.1304347826086956,0.1739130434782608,0.0869565217391304,0.0,0.2608695652173913,1.1573033707865168,14.0,-4.478999999999999,1.1685393258426966,15.0,0.1612903225806451,0.2258064516129032,0.1935483870967742,0.064516129032258,0.0967741935483871,0.1935483870967742,3,-14.451999999999998,1.1348233588869243,1.1430701033144215,75.0,77.0,3
1.1222222222222222,11.0,-1.758000000000001,1.1333333333333333,12.0,0.0967741935483871,0.032258064516129,0.1290322580645161,0.1612903225806451,0.1290322580645161,0.1935483870967742,1.1555555555555554,14.0,-3.754,1.1444444444444444,13.0,0.0967741935483871,0.2903225806451613,0.1612903225806451,0.032258064516129,0.1935483870967742,0.0967741935483871,1.1549295774647887,11.0,-5.801000000000001,1.0985915492957747,7.0,0.2,0.16,0.16,0.08,0.08,0.04,1.180851063829787,17.0,-6.929999999999999,1.1170212765957448,11.0,0.1818181818181818,0.0909090909090909,0.1818181818181818,0.0909090909090909,0.1515151515151515,0.1515151515151515,1.1,5.0,1.187,1.16,8.0,0.0555555555555555,0.1111111111111111,0.1111111111111111,0.1666666666666666,0.1111111111111111,0.1666666666666666,1.1428571428571428,10.0,4.468999999999999,1.2714285714285714,19.0,0.2,0.2,0.12,0.24,0.08,0.32,1.1573033707865168,14.0,-4.935,1.1123595505617978,10.0,0.1612903225806451,0.1290322580645161,0.1935483870967742,0.064516129032258,0.0967741935483871,0.1290322580645161,3,-17.522000000000002,1.144816990388002,1.1481683893799524,82.0,80.0,3
1.1904761904761905,16.0,-8.847999999999999,1.1071428571428572,9.0,0.1379310344827586,0.1034482758620689,0.2413793103448276,0.1379310344827586,0.1724137931034483,0.0689655172413793,1.1616161616161615,16.0,-6.617999999999999,1.1313131313131313,13.0,0.1176470588235294,0.2352941176470588,0.2352941176470588,0.0294117647058823,0.1176470588235294,0.1176470588235294,1.1408450704225352,10.0,-1.99,1.1126760563380282,8.0,0.08,0.16,0.28,0.08,0.04,0.08,1.1720430107526882,16.0,-4.847999999999999,1.139784946236559,13.0,0.21875,0.125,0.0625,0.1875,0.21875,0.09375,1.1,5.0,1.186,1.16,8.0,0.1111111111111111,0.1111111111111111,0.1666666666666666,0.1666666666666666,0.0,0.1666666666666666,1.1228070175438596,7.0,1.2350000000000003,1.1929824561403508,11.0,0.15,0.15,0.2,0.15,0.0,0.25,1.146067415730337,13.0,-2.8510000000000004,1.1348314606741572,12.0,0.1612903225806451,0.1935483870967742,0.1290322580645161,0.0967741935483871,0.1290322580645161,0.0967741935483871,7,-22.733999999999995,1.1476935523631104,1.139818701120726,83.0,74.0,7
1.0869565217391304,8.0,5.144,1.1630434782608696,15.0,0.09375,0.125,0.09375,0.15625,0.0625,0.1875,1.1264367816091954,11.0,0.1500000000000003,1.1494252873563218,13.0,0.1,0.2666666666666666,0.1333333333333333,0.0333333333333333,0.1333333333333333,0.1333333333333333,1.2,15.0,-7.889999999999999,1.106666666666667,8.0,0.3461538461538461,0.1923076923076923,0.1923076923076923,0.0769230769230769,0.0384615384615384,0.0384615384615384,1.164835164835165,15.0,-5.754999999999999,1.1318681318681318,12.0,0.1875,0.09375,0.15625,0.125,0.125,0.15625,1.14,7.0,-2.899,1.1,5.0,0.1111111111111111,0.1111111111111111,0.1666666666666666,0.1111111111111111,0.1111111111111111,0.0555555555555555,1.0972222222222223,7.0,8.189,1.2361111111111112,17.0,0.08,0.2,0.12,0.16,0.08,0.32,1.1428571428571428,12.0,-4.758999999999999,1.119047619047619,10.0,0.2068965517241379,0.0689655172413793,0.1379310344827586,0.1034482758620689,0.0689655172413793,0.1724137931034483,6,-7.819999999999995,1.136901119037551,1.143737470615817,75.0,80.0,6
1.180952380952381,19.0,-6.612,1.161904761904762,17.0,0.25,0.1944444444444444,0.1388888888888889,0.1111111111111111,0.1388888888888889,0.1666666666666666,1.146067415730337,13.0,-6.621,1.1123595505617978,10.0,0.0967741935483871,0.1612903225806451,0.1935483870967742,0.064516129032258,0.1290322580645161,0.0967741935483871,1.148648648648649,11.0,-6.893,1.0675675675675675,5.0,0.1538461538461538,0.1153846153846153,0.1538461538461538,0.0384615384615384,0.1153846153846153,0.0384615384615384,1.184782608695652,17.0,-1.7490000000000006,1.1956521739130437,18.0,0.21875,0.15625,0.1875,0.1875,0.125,0.21875,1.1444444444444444,13.0,-3.892000000000001,1.1222222222222222,11.0,0.1290322580645161,0.0967741935483871,0.0967741935483871,0.1290322580645161,0.1935483870967742,0.1290322580645161,1.0975609756097562,4.0,2.094,1.170731707317073,7.0,0.0,0.2,0.2666666666666666,0.1333333333333333,0.0,0.1333333333333333,1.152941176470588,13.0,-1.7560000000000002,1.1647058823529413,14.0,0.2,0.0666666666666666,0.1666666666666666,0.2,0.0666666666666666,0.2,5,-25.429,1.1507710929359725,1.1421634094056297,90.0,82.0,5
1.1714285714285717,18.0,-6.34,1.180952380952381,19.0,0.1944444444444444,0.2777777777777778,0.1111111111111111,0.1111111111111111,0.1944444444444444,0.1388888888888889,1.1573033707865168,14.0,-5.849,1.1123595505617978,10.0,0.0967741935483871,0.1935483870967742,0.1935483870967742,0.032258064516129,0.1612903225806451,0.0967741935483871,1.148648648648649,11.0,-5.895,1.0810810810810811,6.0,0.1538461538461538,0.1153846153846153,0.1923076923076923,0.0769230769230769,0.0769230769230769,0.0384615384615384,1.1521739130434785,14.0,-0.8449999999999994,1.1630434782608696,15.0,0.15625,0.125,0.15625,0.125,0.125,0.21875,1.1363636363636362,12.0,-2.894,1.125,11.0,0.1290322580645161,0.0967741935483871,0.032258064516129,0.1290322580645161,0.2258064516129032,0.1290322580645161,1.146341463414634,6.0,-0.9039999999999992,1.146341463414634,6.0,0.0666666666666666,0.0666666666666666,0.2666666666666666,0.2,0.0666666666666666,0.1333333333333333,1.1294117647058823,11.0,-0.8500000000000002,1.1411764705882352,12.0,0.1666666666666666,0.0666666666666666,0.1666666666666666,0.1,0.0333333333333333,0.2333333333333333,5,-23.577,1.1488101954844812,1.135707774979857,86.0,79.0,5
1.1630434782608696,15.0,-7.753,1.108695652173913,10.0,0.15625,0.125,0.15625,0.125,0.15625,0.0625,1.181818181818182,18.0,-7.702000000000001,1.1414141414141414,14.0,0.1176470588235294,0.2352941176470588,0.2058823529411764,0.0588235294117647,0.2058823529411764,0.1176470588235294,1.170731707317073,14.0,-3.8,1.146341463414634,12.0,0.1724137931034483,0.2068965517241379,0.2758620689655172,0.1034482758620689,0.0344827586206896,0.1034482758620689,1.1764705882352942,21.0,-7.655000000000001,1.1428571428571428,17.0,0.2195121951219512,0.0975609756097561,0.1219512195121951,0.1463414634146341,0.1707317073170731,0.1707317073170731,1.0909090909090908,5.0,4.1850000000000005,1.2,11.0,0.05,0.1,0.2,0.15,0.0,0.3,1.147540983606557,9.0,-1.8070000000000008,1.147540983606557,9.0,0.2272727272727272,0.0454545454545454,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.2727272727272727,1.1414141414141414,14.0,-0.7560000000000001,1.1616161616161615,16.0,0.1176470588235294,0.2058823529411764,0.2058823529411764,0.088235294117647,0.088235294117647,0.1764705882352941,1,-25.288000000000004,1.1531325959373155,1.14978079215465,96.0,89.0,1
1.1923076923076923,20.0,-12.929000000000002,1.0865384615384617,9.0,0.1944444444444444,0.0833333333333333,0.1388888888888889,0.0833333333333333,0.2222222222222222,0.0833333333333333,1.169811320754717,18.0,-5.615000000000001,1.150943396226415,16.0,0.2162162162162162,0.2162162162162162,0.1621621621621621,0.054054054054054,0.1081081081081081,0.1621621621621621,1.1451612903225807,9.0,-3.992,1.0806451612903225,5.0,0.1818181818181818,0.1363636363636363,0.1363636363636363,0.0454545454545454,0.0909090909090909,0.0454545454545454,1.1195652173913044,11.0,1.152,1.1521739130434785,14.0,0.1875,0.125,0.09375,0.09375,0.0625,0.21875,1.1355932203389831,8.0,0.3720000000000006,1.2033898305084745,12.0,0.1428571428571428,0.1904761904761904,0.0952380952380952,0.2857142857142857,0.1428571428571428,0.0952380952380952,1.1710526315789471,13.0,-4.755999999999999,1.1447368421052633,11.0,0.1111111111111111,0.037037037037037,0.2592592592592592,0.1111111111111111,0.1111111111111111,0.2592592592592592,1.1022727272727273,9.0,2.149,1.1477272727272727,13.0,0.1612903225806451,0.1612903225806451,0.0967741935483871,0.0967741935483871,0.032258064516129,0.1612903225806451,8,-23.619000000000003,1.1479662999952789,1.1380221253485268,88.0,80.0,8
